This is the header for the file.
-------------------
dx | dy  is  268 46 toIndex | u_value | v_value are 20711 606.0347 31.4156
dx | dy  is  269 46 toIndex | u_value | v_value are 20723 608.6413 31.43091
dx | dy  is  270 46 toIndex | u_value | v_value are 20736 611.2476 31.44622
dx | dy  is  271 46 toIndex | u_value | v_value are 20748 613.8536 31.46153
dx | dy  is  272 46 toIndex | u_value | v_value are 20761 616.4593 31.47683
dx | dy  is  273 46 toIndex | u_value | v_value are 20773 619.0646 31.49214
dx | dy  is  274 46 toIndex | u_value | v_value are 20785 621.6697 31.50744
dx | dy  is  275 46 toIndex | u_value | v_value are 20798 624.2745 31.52274
dx | dy  is  276 46 toIndex | u_value | v_value are 20810 626.879 31.53804
dx | dy  is  277 46 toIndex | u_value | v_value are 20823 629.4831 31.55334
dx | dy  is  278 46 toIndex | u_value | v_value are 20835 632.0869 31.56863
dx | dy  is  279 46 toIndex | u_value | v_value are 20847 634.6904 31.58393
dx | dy  is  280 46 toIndex | u_value | v_value are 20860 637.2936 31.59922
dx | dy  is  281 46 toIndex | u_value | v_value are 20872 639.8965 31.61451
dx | dy  is  282 46 toIndex | u_value | v_value are 20885 642.4991 31.6298
dx | dy  is  283 46 toIndex | u_value | v_value are 20897 645.1014 31.64509
dx | dy  is  284 46 toIndex | u_value | v_value are 20909 647.7034 31.66037
dx | dy  is  285 46 toIndex | u_value | v_value are 20922 650.3051 31.67565
dx | dy  is  286 46 toIndex | u_value | v_value are 20934 652.9065 31.69094
dx | dy  is  287 46 toIndex | u_value | v_value are 20946 655.5075 31.70621
dx | dy  is  288 46 toIndex | u_value | v_value are 20959 658.1083 31.72149
dx | dy  is  289 46 toIndex | u_value | v_value are 20971 660.7087 31.73677
dx | dy  is  0 47 toIndex | u_value | v_value are 19048 -103.8343 29.92377
dx | dy  is  1 47 toIndex | u_value | v_value are 19060 -101.143 29.93941
dx | dy  is  2 47 toIndex | u_value | v_value are 19073 -98.452 29.95506
dx | dy  is  3 47 toIndex | u_value | v_value are 19086 -95.76135 29.9707
dx | dy  is  4 47 toIndex | u_value | v_value are 19098 -93.07103 29.98635
dx | dy  is  5 47 toIndex | u_value | v_value are 19111 -90.38103 30.00199
dx | dy  is  6 47 toIndex | u_value | v_value are 19124 -87.69135 30.01762
dx | dy  is  7 47 toIndex | u_value | v_value are 19136 -85.00201 30.03326
dx | dy  is  8 47 toIndex | u_value | v_value are 19149 -82.31298 30.04889
dx | dy  is  9 47 toIndex | u_value | v_value are 19162 -79.62428 30.06453
dx | dy  is  10 47 toIndex | u_value | v_value are 19175 -76.9359 30.08016
dx | dy  is  11 47 toIndex | u_value | v_value are 19187 -74.24785 30.09579
dx | dy  is  12 47 toIndex | u_value | v_value are 19200 -71.56012 30.11142
dx | dy  is  13 47 toIndex | u_value | v_value are 19213 -68.87271 30.12704
dx | dy  is  14 47 toIndex | u_value | v_value are 19225 -66.18563 30.14266
dx | dy  is  15 47 toIndex | u_value | v_value are 19238 -63.49887 30.15829
dx | dy  is  16 47 toIndex | u_value | v_value are 19251 -60.81244 30.1739
dx | dy  is  17 47 toIndex | u_value | v_value are 19263 -58.12633 30.18952
dx | dy  is  18 47 toIndex | u_value | v_value are 19276 -55.44054 30.20514
dx | dy  is  19 47 toIndex | u_value | v_value are 19289 -52.75508 30.22075
dx | dy  is  20 47 toIndex | u_value | v_value are 19301 -50.06994 30.23636
dx | dy  is  21 47 toIndex | u_value | v_value are 19314 -47.38513 30.25197
dx | dy  is  22 47 toIndex | u_value | v_value are 19327 -44.70064 30.26758
dx | dy  is  23 47 toIndex | u_value | v_value are 19339 -42.01647 30.28319
dx | dy  is  24 47 toIndex | u_value | v_value are 19352 -39.33262 30.29879
dx | dy  is  25 47 toIndex | u_value | v_value are 19365 -36.6491 30.3144
dx | dy  is  26 47 toIndex | u_value | v_value are 19378 -33.9659 30.33
dx | dy  is  27 47 toIndex | u_value | v_value are 19390 -31.28303 30.3456
dx | dy  is  28 47 toIndex | u_value | v_value are 19403 -28.60048 30.36119
dx | dy  is  29 47 toIndex | u_value | v_value are 19416 -25.91825 30.37679
dx | dy  is  30 47 toIndex | u_value | v_value are 19428 -23.23635 30.39238
dx | dy  is  31 47 toIndex | u_value | v_value are 19441 -20.55476 30.40797
dx | dy  is  32 47 toIndex | u_value | v_value are 19454 -17.8735 30.42356
dx | dy  is  33 47 toIndex | u_value | v_value are 19466 -15.19257 30.43915
dx | dy  is  34 47 toIndex | u_value | v_value are 19479 -12.51196 30.45473
dx | dy  is  35 47 toIndex | u_value | v_value are 19492 -9.831665 30.47032
dx | dy  is  36 47 toIndex | u_value | v_value are 19503 -7.151697 30.4859
dx | dy  is  37 47 toIndex | u_value | v_value are 19516 -4.472052 30.50148
dx | dy  is  38 47 toIndex | u_value | v_value are 19529 -1.792729 30.51706
dx | dy  is  39 47 toIndex | u_value | v_value are 19540 0.8862705 30.53263
dx | dy  is  40 47 toIndex | u_value | v_value are 19553 3.564948 30.54821
dx | dy  is  41 47 toIndex | u_value | v_value are 19566 6.243303 30.56378
dx | dy  is  42 47 toIndex | u_value | v_value are 19578 8.921335 30.57935
dx | dy  is  43 47 toIndex | u_value | v_value are 19591 11.59905 30.59492
dx | dy  is  44 47 toIndex | u_value | v_value are 19604 14.27643 30.61049
dx | dy  is  45 47 toIndex | u_value | v_value are 19616 16.9535 30.62605
dx | dy  is  46 47 toIndex | u_value | v_value are 19629 19.63024 30.64162
dx | dy  is  47 47 toIndex | u_value | v_value are 19642 22.30667 30.65718
dx | dy  is  48 47 toIndex | u_value | v_value are 19654 24.98277 30.67274
dx | dy  is  49 47 toIndex | u_value | v_value are 19667 27.65854 30.6883
dx | dy  is  50 47 toIndex | u_value | v_value are 19680 30.334 30.70385
dx | dy  is  51 47 toIndex | u_value | v_value are 19693 33.00913 30.71941
dx | dy  is  52 47 toIndex | u_value | v_value are 19705 35.68394 30.73496
dx | dy  is  53 47 toIndex | u_value | v_value are 19718 38.35843 30.75051
dx | dy  is  54 47 toIndex | u_value | v_value are 19731 41.0326 30.76606
dx | dy  is  55 47 toIndex | u_value | v_value are 19743 43.70645 30.7816
dx | dy  is  56 47 toIndex | u_value | v_value are 19756 46.37997 30.79715
dx | dy  is  57 47 toIndex | u_value | v_value are 19769 49.05318 30.81269
dx | dy  is  58 47 toIndex | u_value | v_value are 19781 51.72606 30.82823
dx | dy  is  59 47 toIndex | u_value | v_value are 19794 54.39862 30.84377
dx | dy  is  60 47 toIndex | u_value | v_value are 19806 57.07086 30.85931
dx | dy  is  61 47 toIndex | u_value | v_value are 19818 59.74278 30.87484
dx | dy  is  62 47 toIndex | u_value | v_value are 19831 62.41438 30.89038
dx | dy  is  63 47 toIndex | u_value | v_value are 19844 65.08566 30.90591
dx | dy  is  64 47 toIndex | u_value | v_value are 19856 67.75661 30.92144
